"Census","X_Center","Y_Center","lats","lngs","nearest_wholefoods","nearest_wholefoods_lat","nearest_wholefoods_long","nearest_ralphs","nearest_ralphs_lat","nearest_ralphs_long","nearest_traderjoes","nearest_traderjoes_lat","nearest_traderjoes_long","nearest_library","nearest_library_lat","nearest_library_long","X2015ZRI","X2016ZRI","X2017ZRI","X2015ZHVI","X2016ZHVI","X2017ZHVI","Citations","Coffee","Restaurants","Shelters","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","totUnsheltPeople","totSheltPeople","totPeople","CrimeCount","MedHouseIncomes","HousingUnits","BusStops","X2015HousedPopulation","totHomeless2015","totHomeless2016","totHomeless2017","X2015Popin1Mi","X2016Popin1Mi","X2017Popin1Mi","TractSqMi"
920328,6389197.497,1974396.747,34.41636749,-118.5718621,1525.33943126705,34.4126364,-118.5558802,2267.50162427533,34.4048753,-118.5514771,3368.89962675623,34.4285573,-118.5382822,15530.6841019041,34.2772071,-118.5598302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920329,6395670.502,1972245.361,34.41055517,-118.5503607,557.338729210021,34.4126364,-118.5558802,640.539899157785,34.4048753,-118.5514771,2290.46193416839,34.4285573,-118.5382822,14704.0596912987,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920330,6391786.632,1969372.049,34.40260074,-118.563184,1303.08546474145,34.4126364,-118.5558802,1104.6553220315,34.4048753,-118.5514771,3684.92271095534,34.4285573,-118.5382822,13962.1597428294,34.2772071,-118.5598302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920331,6397151.904,1967341.406,34.3971022,-118.545361,1980.85178032932,34.4126364,-118.5558802,1031.65849893574,34.4048753,-118.5514771,3561.40254838065,34.4285573,-118.5382822,13261.6715401524,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920332,6407204.353,1962139.764,34.38295431,-118.5119502,5215.35998912279,34.4126364,-118.5558802,4374.68477235317,34.4048753,-118.5514771,5623.14998851975,34.4285573,-118.5382822,10132.9935503384,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920334,6392653.332,1964055.705,34.38800572,-118.5602126,2770.60086881754,34.4126364,-118.5558802,1432.58020179709,34.3824824,-118.5742973,4943.13357968028,34.4285573,-118.5382822,12334.0960508952,34.2772071,-118.5598302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920336,6399795.511,1962925.148,34.38500622,-118.5365195,3552.86659114946,34.4126364,-118.5558802,2603.8215441528,34.4048753,-118.5514771,4850.78635807459,34.4285573,-118.5382822,11717.2425057818,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920337,6406908.32,1958759.441,34.37366163,-118.5128742,5867.72203175459,34.4126364,-118.5558802,4964.76046342218,34.4048753,-118.5514771,6541.41254394516,34.4285573,-118.5382822,9346.37180517908,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920338,6381722.754,1963419.152,34.38608378,-118.5964298,4754.91655929857,34.4126364,-118.5558802,2072.42522951664,34.3824824,-118.5742973,7132.72264834911,34.4285573,-118.5382822,12578.4074239527,34.2772071,-118.5598302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920339,6375212.095,1972659.665,34.41136683,-118.6181974,5724.8340650062,34.4126364,-118.5558802,5157.44639170131,34.3824824,-118.5742973,7583.95717252609,34.4285573,-118.5382822,15868.8897564087,34.2772071,-118.5598302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
930101,6526961.839,1908017.191,34.23525913,-118.1148218,10169.8111062109,34.151033,-118.072043,5775.01675980818,34.1850984,-118.130828,7847.58762055297,34.200542,-118.18902,14176.4062204189,34.13758,-118.2135991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
930200,6474633.248,1946566.531,34.34089911,-118.2883174,21486.6183991467,34.1510829,-118.2459665,9622.92511819845,34.26048,-118.3267,15746.9934934062,34.2069873,-118.2331547,9259.24783660863,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
930301,6603027.09,1932123.831,34.30147807,-117.8630494,25504.9810481873,34.151033,-118.072043,19428.9529515403,34.1271807,-117.8740188,21189.5430833201,34.1427734,-117.9901536,36360.7988511171,34.1138344,-118.1863337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
930401,6371213.793,1884057.401,34.16783615,-118.6296136,3004.3239879071,34.1682042,-118.5969982,1949.59667323387,34.1543175,-118.6430694,2736.27521210196,34.1922146,-118.6258129,1743.39467351004,34.1678825,-118.6106854,2855.770833,3044.354167,3143.333333,597050,632800,660216.6667,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,88,91243.55738,0,3,4283.83871,10.33333333,5,2,27,56,9.19,0.5369362
980001,6453555.658,1895254.683,34.19971553,-118.3575364,6992.30849956631,34.1579165,-118.4142109,2419.72588225049,34.183956,-118.3394374,5339.45128988369,34.1519738,-118.3519476,2091.86012553167,34.2148849,-118.3709474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980002,6489164.303,1753438.341,33.81031758,-118.2386612,8772.98485522264,33.7925146,-118.3310494,3261.87858065079,33.8303087,-118.264448,5430.06168271352,33.8355288,-118.1883956,3246.50461616698,33.7891505,-118.2628036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980003,6575300.212,2112005.668,34.79582901,-117.9545882,69677.42306878,34.4126364,-118.5558802,63705.5252711783,34.4146522,-118.4731944,67314.6799352032,34.4285573,-118.5382822,67743.1083771678,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980004,6536641.671,2051457.823,34.62943778,-118.0831886,49619.1056263641,34.4126364,-118.5558802,43025.3411484792,34.4146522,-118.4731944,47349.4577035416,34.4285573,-118.5382822,45893.638496768,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980005,6462272.615,1769123.191,33.85320838,-118.3273501,5783.15282182469,33.8473733,-118.3895084,2078.28733576222,33.8718293,-118.325728,2400.05116588306,33.8522499,-118.3532856,5472.94090871027,33.8069475,-118.3073126,2551.95,2685.975,2785.4,562730,605049.1667,640903.3333,0,0,0,0,0,0,0,3,0,0,0,0,5,0,9,0,9,1,83824.02222,0,0,0,10.58333333,7,9.108,0,7,1,1.565139707
