Census,X_Center,Y_Center,lats,lngs
113322,6388777.215,1915192.671,34.25367882,-118.5721382
113401,6391577.242,1905550.511,34.22722727,-118.5626938
113421,6385466.267,1907752.334,34.2331818,-118.582952
113422,6386218.235,1904555.171,34.22440851,-118.5804032
115101,6407155.873,1909911.472,34.23943913,-118.5112305
115103,6402258.217,1911533.461,34.24382655,-118.5274632
115104,6403702.05,1909220.224,34.23749089,-118.5226461
115201,6399405.691,1911761.43,34.24441148,-118.5369058
115202,6399122.303,1907914.889,34.23383767,-118.5377754
115301,6395905.529,1911144.238,34.24266361,-118.5484761
115302,6395426.98,1905105.506,34.22606302,-118.5499502
115401,6405950.942,1904592.975,34.22480788,-118.515127
115403,6400932.021,1904592.313,34.22473424,-118.5317299
115404,6398033.502,1904814.004,34.2253009,-118.5413223
117101,6421977.335,1909755.408,34.2392075,-118.462189
117102,6422554.032,1912424.113,34.24654795,-118.4603214
117201,6419595.451,1911027.39,34.24267235,-118.4700895
117202,6416942.982,1911127.258,34.24291237,-118.4788675
117301,6413682.62,1910868.677,34.24215867,-118.4896512
117302,6410927.82,1909420.824,34.23814299,-118.4987424
117303,6413164.951,1905758.482,34.22810974,-118.4912814
117404,6416854.641,1905874.965,34.22847875,-118.479077
117405,6419537.43,1907773.782,34.23373121,-118.4702311
117407,6419506.913,1906454.608,34.23010594,-118.4703117
117408,6419480.047,1904540.653,34.22484635,-118.4703709
117510,6421731.11,1907767.027,34.23374063,-118.4629734
117520,6421636.549,1906420.801,34.23004022,-118.4632657
117530,6421499.556,1904533.955,34.22485373,-118.4636901
119001,6435286.48,1907176.913,34.23228234,-118.4181182
119002,6432287.447,1912142.512,34.24589235,-118.4281101
119201,6428288.523,1912417.665,34.24660091,-118.4413462
119202,6427936.165,1915631.053,34.25542654,-118.4425589
119310,6425518.721,1911989.743,34.24539128,-118.4505049
119320,6424569.808,1909637.935,34.23891715,-118.4536097
119340,6425077.581,1907703.907,34.23360903,-118.4519009
119341,6426904.438,1908990.472,34.23716673,-118.4458757
119342,6426489.735,1910303.174,34.24076877,-118.4472671
119400,6429939.87,1910043.735,34.24009752,-118.4358479
119700,6432751.065,1903210.192,34.22135313,-118.4264506
119800,6431658.02,1907741.599,34.23379194,-118.4301305
119900,6428278.472,1905589.088,34.22783692,-118.4412802
120010,6421810.561,1901998.066,34.21788944,-118.4626227
120020,6424197.655,1902168.421,34.21838748,-118.4547292
120030,6425065.036,1901020.764,34.21524465,-118.451843
120103,6425102.197,1906288.359,34.22971963,-118.4517984
120104,6425827.883,1904190.132,34.22396297,-118.4493666
120105,6426696.092,1906772.872,34.23107057,-118.4465325
120106,6423620.461,1903889.259,34.22310888,-118.4566643
120107,6423660.243,1905084.268,34.22639308,-118.4565507
120108,6423790.589,1906994.282,34.23164312,-118.4561481
120300,6428391.55,1901023.006,34.2152914,-118.4408399
120400,6430966.977,1902318.563,34.21888213,-118.4323396
121010,6439645.773,1903897.127,34.22331895,-118.4036524
121020,6440110.095,1899820.419,34.21212189,-118.4020625
121101,6451201.656,1904252.509,34.22441697,-118.3654295
121102,6446389.12,1910799.732,34.24235864,-118.3814319
121210,6439361.708,1909754.111,34.23940992,-118.4046701
121221,6442099.273,1905447.985,34.22760728,-118.3955564
121222,6443196.008,1907093.646,34.23214111,-118.3919494
