Census,X_Center,Y_Center,lats,lngs,nearest_ralphs,nearest_ralphs_lat,nearest_ralphs_long,nearest_traderjoes,nearest_traderjoes_lat,nearest_traderjoes_long,nearest_library,nearest_library_lat,nearest_library_long,X2015ZRI,X2016ZRI,X2017ZRI,X2015ZHVI,X2016ZHVI,X2017ZHVI,Citations,Coffee,Restaurants,Shelters,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totUnsheltPeople,totSheltPeople,totPeople,CrimeCount,MedHouseIncomes,HousingUnits,BusStops,X2015HousedPopulation,totHomeless2015,totHomeless2016,totHomeless2017,X2015Popin1Mi,X2016Popin1Mi,X2017Popin1Mi,TractSqMi
103200,6458879.81,1922034.04,34.27335207,-118.3402287,1897.964151,34.26048,-118.3267,11597.00727,34.1749504,-118.2988584,3966.603818,34.2583944,-118.3010953,2356.083333,2499.791667,2594.666667,442229.1667,478475,518922.2222,0,0,9,0,5,0,3,1,9,8,0,6,2,17,55,0,55,142,66250,0,24,6327,78.41666667,65,55.271,0,0,0,2.86334907
103300,6454252.239,1916237.014,34.25737869,-118.3554781,2670.164221,34.26048,-118.3267,10552.79493,34.1749504,-118.2988584,3923.807459,34.2726803,-118.3939002,2356.083333,2499.791667,2594.666667,442229.1667,478475,518922.2222,0,0,1,0,0,1,2,0,3,0,2,4,0,6,15,0,15,101,114028,0,9,3881,19.32142857,0,14.775,0,0,0,2.371246822
103400,6466790.684,1915269.739,34.25483549,-118.3139736,1328.860444,34.26048,-118.3267,9000.963566,34.1749504,-118.2988584,1249.387378,34.2583944,-118.3010953,2356.083333,2499.791667,2594.666667,442229.1667,478475,518922.2222,0,0,10,0,0,1,3,0,4,0,2,6,0,8,18,0,18,129,76936,0,10,6365,9.75,17,17.795,6,2,12.4,0.965463411
104103,6443077.492,1925274.944,34.28209931,-118.3925764,6520.506821,34.26048,-118.3267,10084.00564,34.272659,-118.5016054,1055.566666,34.2726803,-118.3939002,2273.833333,2404.0625,2496.388889,411291.6667,445689.5833,476752.7778,0,0,0,0,0,0,0,0,12,0,0,0,0,23,33,0,33,73,70250,0,2,4317,2,10,33.106,31.5,12,37.466,0.366421384
104105,6439410.67,1923123.757,34.27614821,-118.4046862,6004.274915,34.2225182,-118.3977306,8923.94308,34.272659,-118.5016054,1064.648222,34.2726803,-118.3939002,2234.638889,2365.916667,2451.111111,394497.2222,426658.3333,452829.6296,0,0,0,0,1,0,2,0,0,2,0,4,0,0,7,8,15,65,37225,0,6,5795,6.5,5,14.781,129.5,193,67.735,0.225723534
104108,6441253.964,1922025.177,34.27314972,-118.3985703,5636.804628,34.2225182,-118.3977306,9478.40711,34.272659,-118.5016054,432.7711907,34.2726803,-118.3939002,2178.291667,2310.625,2409.277778,376075,411650,434716.6667,0,0,4,0,0,0,2,0,1,0,0,4,0,2,6,0,6,151,52054,60,10,5662,14,6,6.116,8.5,15,47.887,0.423392888
104124,6448444.564,1927140.796,34.28728268,-118.3748325,5339.156337,34.26048,-118.3267,11774.00274,34.272659,-118.5016054,2391.340577,34.2726803,-118.3939002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104201,6435978.234,1926905.205,34.28650054,-118.4160998,7320.272391,34.2225182,-118.3977306,8014.587723,34.272659,-118.5016054,2556.675184,34.2726803,-118.3939002,2254.645833,2380.479167,2461.277778,399760.4167,430777.0833,457738.8889,0,0,2,0,2,0,4,1,2,3,0,8,2,4,24,0,24,98,46193,0,4,5231,12,10,24.114,100,126,17.372,0.420850985
104203,6437340.162,1924191.136,34.27905811,-118.4115543,6421.238348,34.2225182,-118.3977306,8314.126851,34.272659,-118.5016054,1772.366925,34.2726803,-118.3939002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104204,6442219.669,1927916.398,34.28934838,-118.3954505,7093.894412,34.26048,-118.3267,9939.476224,34.272659,-118.5016054,1860.953685,34.2726803,-118.3939002,2223.75,2348.472222,2436.777778,389233.3333,422144.4444,447300,0,0,0,0,0,0,6,0,0,0,0,13,0,0,17,0,17,156,45500,0,5,3534,11,1,16.569,2,10,33.106,1.029546477
104310,6431980.798,1923236.41,34.27637307,-118.4292815,6661.059216,34.2225182,-118.3977306,6665.818312,34.272659,-118.5016054,1687.293799,34.2612159,-118.4292353,2234.638889,2365.916667,2451.111111,394497.2222,426658.3333,452829.6296,0,0,2,0,1,0,2,0,0,2,0,4,0,0,6,0,6,118,46809,0,5,5302,6.5,5,5.781,114.25,174,18.194,0.582430839
104320,6434704.52,1922045.535,34.27313236,-118.4202492,6003.288693,34.2225182,-118.3977306,7484.183384,34.272659,-118.5016054,1563.046075,34.2612159,-118.4292353,2234.638889,2365.916667,2451.111111,394497.2222,426658.3333,452829.6296,0,1,9,0,1,0,0,0,0,2,0,0,0,0,3,0,3,267,44594,0,11,6390,93.5,121,2.591,73.75,79,63.374,0.467976185
104401,6430926.895,1919843.985,34.2670388,-118.4327217,5910.157059,34.2225182,-118.3977306,6367.685585,34.272659,-118.5016054,723.2193224,34.2612159,-118.4292353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
